,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
482,3,4,8,1,94.9,130.3,587.1,14.1,23.4,40,5.8,0.0,1.29
484,2,5,8,1,94.9,130.3,587.1,14.1,33.1,25,4.0,0.0,26.43
512,4,3,8,1,81.6,56.7,665.6,1.9,27.8,32,2.7,0.0,6.44
513,2,4,8,1,81.6,56.7,665.6,1.9,21.9,71,5.8,0.0,54.29
514,7,4,8,1,81.6,56.7,665.6,1.9,21.2,70,6.7,0.0,11.16
260,2,4,8,2,93.6,97.9,542.0,14.4,28.3,32,4.0,0.0,8.85
427,2,4,8,2,92.1,207.0,672.6,8.2,27.9,33,2.2,0.0,2.35
436,8,6,8,2,92.1,207.0,672.6,8.2,26.8,35,1.3,0.0,0.54
441,8,6,8,2,92.1,207.0,672.6,8.2,25.5,29,1.8,0.0,1.23
485,2,4,8,2,95.0,135.5,596.3,21.3,30.6,28,3.6,0.0,2.07
496,4,5,8,2,96.2,175.5,661.8,16.8,32.6,26,3.1,0.0,2.77
148,2,2,8,3,94.8,108.3,647.1,17.0,17.4,43,6.7,0.0,1.07
179,8,6,8,3,88.8,147.3,614.5,9.0,14.4,66,5.4,0.0,5.23
192,2,2,8,3,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,8.71
194,2,2,8,3,94.8,108.3,647.1,17.0,24.6,22,4.5,0.0,10.01
265,4,4,8,3,93.7,102.2,550.3,14.6,22.1,54,7.6,0.0,0.79
266,6,5,8,3,94.3,131.7,607.1,22.7,19.4,55,4.0,0.0,0.17
269,4,4,8,3,92.1,152.6,658.2,14.3,19.1,53,2.7,0.0,4.4
270,2,2,8,3,92.1,152.6,658.2,14.3,21.8,56,3.1,0.0,0.52
271,8,6,8,3,92.1,152.6,658.2,14.3,20.1,58,4.5,0.0,9.27
272,2,5,8,3,92.1,152.6,658.2,14.3,20.2,47,4.0,0.0,3.09
486,5,4,8,3,95.1,141.3,605.8,17.7,24.1,43,6.3,0.0,2.0
487,5,4,8,3,95.1,141.3,605.8,17.7,26.4,34,3.6,0.0,16.4
488,4,4,8,3,95.1,141.3,605.8,17.7,19.4,71,7.6,0.0,46.7
497,3,4,8,3,96.1,181.1,671.2,14.3,32.3,27,2.2,0.0,14.68
498,6,5,8,3,96.1,181.1,671.2,14.3,33.3,26,2.7,0.0,40.54
499,7,5,8,3,96.1,181.1,671.2,14.3,27.3,63,4.9,6.4,10.82
141,1,2,8,4,95.5,99.9,513.3,13.2,23.3,31,4.5,0.0,0.55
144,2,5,8,4,95.5,99.9,513.3,13.2,23.8,32,5.4,0.0,0.77
157,2,2,8,4,92.1,111.2,654.1,9.6,18.4,45,3.6,0.0,1.63
158,2,4,8,4,92.1,111.2,654.1,9.6,20.5,35,4.0,0.0,1.64
166,6,5,8,4,92.1,111.2,654.1,9.6,16.6,47,0.9,0.0,2.29
167,6,5,8,4,96.0,127.1,570.5,16.5,23.4,33,4.5,0.0,2.51
171,8,6,8,4,85.6,90.4,609.6,6.6,17.4,50,4.0,0.0,2.69
247,2,4,8,4,92.2,91.6,503.6,9.6,20.7,70,2.2,0.0,0.75
249,3,4,8,4,93.1,157.3,666.7,13.5,21.7,40,0.4,0.0,2.47
250,8,5,8,4,93.1,157.3,666.7,13.5,26.8,25,3.1,0.0,0.68
251,8,5,8,4,93.1,157.3,666.7,13.5,24.0,36,3.1,0.0,0.24
252,6,5,8,4,93.1,157.3,666.7,13.5,22.1,37,3.6,0.0,0.21
382,8,6,8,4,95.2,217.7,690.0,18.0,28.2,29,1.8,0.0,5.86
420,8,8,8,4,91.7,191.4,635.9,7.8,26.2,36,4.5,0.0,185.76
450,4,5,8,4,95.2,217.7,690.0,18.0,23.4,49,5.4,0.0,6.43
457,1,4,8,4,91.7,191.4,635.9,7.8,19.9,50,4.0,0.0,82.75
503,2,4,8,4,94.5,139.4,689.1,20.0,29.2,30,4.9,0.0,1.95
504,4,3,8,4,94.5,139.4,689.1,20.0,28.9,29,4.9,0.0,49.59
145,6,5,8,5,95.2,131.7,578.8,10.4,27.4,22,4.0,0.0,0.9
161,6,4,8,5,95.2,131.7,578.8,10.4,20.3,41,4.0,0.0,1.9
169,8,6,8,5,95.2,131.7,578.8,10.4,20.7,45,2.2,0.0,2.55
191,2,5,8,5,95.2,131.7,578.8,10.4,24.2,28,2.7,0.0,8.68
253,7,4,8,5,91.9,109.2,565.5,8.0,21.4,38,2.7,0.0,1.52
254,6,3,8,5,91.6,138.1,621.7,6.3,18.9,41,3.1,0.0,10.34
381,8,6,8,5,90.7,194.1,643.0,6.8,16.2,63,2.7,0.0,16.33
383,9,6,8,5,91.6,248.4,753.8,6.3,20.5,58,2.7,0.0,42.87
415,8,6,8,5,94.8,222.4,698.6,13.9,27.5,27,4.9,0.0,746.28
505,1,2,8,5,91.0,163.2,744.4,10.1,26.7,35,1.8,0.0,5.8
142,8,6,8,6,90.1,108.0,529.8,12.5,21.2,51,8.9,0.0,0.61
184,8,6,8,6,93.9,135.7,586.7,15.1,20.8,34,4.9,0.0,6.96
195,2,5,8,6,93.9,135.7,586.7,15.1,23.5,36,5.4,0.0,10.02
261,3,4,8,6,91.6,112.4,573.0,8.9,11.2,84,7.6,0.0,3.3
262,2,4,8,6,91.6,112.4,573.0,8.9,21.4,42,3.1,0.0,4.25
263,6,3,8,6,91.1,141.1,629.1,7.1,19.3,39,3.6,0.0,1.56
264,4,4,8,6,94.3,167.6,684.4,13.0,21.8,53,3.1,0.0,6.54
388,6,4,8,6,94.8,227.0,706.7,12.0,23.3,34,3.1,0.0,28.74
451,1,4,8,6,90.5,196.8,649.9,16.3,11.8,88,4.9,0.0,9.71
493,1,3,8,6,95.9,158.0,633.6,11.3,27.5,29,4.5,0.0,43.32
509,5,4,8,6,91.0,166.9,752.6,7.1,21.1,71,7.6,1.4,2.17
510,6,5,8,6,91.0,166.9,752.6,7.1,18.2,62,5.4,0.0,0.43
174,1,4,8,7,90.2,96.9,624.2,8.9,14.2,53,1.8,0.0,3.5
175,1,4,8,7,90.2,96.9,624.2,8.9,20.3,39,4.9,0.0,4.53
206,2,2,8,7,93.5,139.4,594.2,20.3,22.9,31,7.2,0.0,15.45
211,7,4,8,7,93.5,139.4,594.2,20.3,5.1,96,5.8,0.0,26.0
227,8,6,8,7,92.2,81.8,480.8,11.9,20.1,34,4.5,0.0,58.3
229,8,6,8,7,92.2,81.8,480.8,11.9,16.4,43,4.0,0.0,71.3
256,8,6,8,7,94.2,117.2,581.1,11.0,23.9,41,2.2,0.0,8.02
257,4,3,8,7,94.2,117.2,581.1,11.0,21.4,44,2.7,0.0,0.68
259,7,4,8,7,91.8,170.9,692.3,13.7,23.7,40,1.8,0.0,1.38
377,2,2,8,7,93.7,231.1,715.1,8.4,21.9,42,2.2,0.0,174.63
384,8,4,8,7,91.6,273.8,819.1,7.7,21.3,44,4.5,0.0,12.18
424,8,6,8,7,93.7,231.1,715.1,8.4,26.9,31,3.6,0.0,4.96
431,1,3,8,7,92.1,178.0,605.3,9.6,23.3,40,4.0,0.0,6.36
438,2,5,8,7,93.7,231.1,715.1,8.4,23.6,53,4.0,0.0,6.43
458,8,6,8,7,93.7,231.1,715.1,8.4,18.9,64,4.9,0.0,3.32
459,7,4,8,7,91.6,273.8,819.1,7.7,15.5,72,8.0,0.0,1.94
494,6,6,8,7,96.0,164.0,643.0,14.0,30.8,30,4.9,0.0,8.59
164,8,5,9,1,89.7,90.0,704.4,4.8,17.8,67,2.2,0.0,2.01
180,1,3,9,1,92.4,124.1,680.7,8.5,23.9,32,6.7,0.0,5.33
216,4,4,9,1,92.4,124.1,680.7,8.5,16.9,60,1.3,0.0,29.48
225,4,4,9,1,93.5,149.3,728.6,8.1,22.9,39,4.9,0.0,48.55
228,4,6,9,1,93.5,149.3,728.6,8.1,28.3,26,3.1,0.0,64.1
231,1,5,9,1,93.5,149.3,728.6,8.1,27.8,27,3.1,0.0,95.18
306,7,4,9,1,89.6,84.1,714.3,5.7,17.1,53,5.4,0.0,0.41
307,3,4,9,1,89.6,84.1,714.3,5.7,23.8,35,3.6,0.0,5.18
311,6,3,9,1,92.4,105.8,758.1,9.9,24.8,28,1.8,0.0,14.29
370,7,4,9,1,91.0,276.3,825.1,7.1,13.8,77,7.6,0.0,11.06
386,3,4,9,1,90.5,96.7,750.5,11.4,20.6,55,5.4,0.0,24.59
392,1,3,9,1,91.0,276.3,825.1,7.1,21.9,43,4.0,0.0,70.76
396,4,3,9,1,90.5,96.7,750.5,11.4,20.4,55,4.9,0.0,3.64
462,1,4,9,1,91.0,276.3,825.1,7.1,14.5,76,7.6,0.0,3.71
140,2,5,9,2,90.9,126.5,686.5,7.0,21.9,39,1.8,0.0,0.47
173,4,4,9,2,90.9,126.5,686.5,7.0,17.7,39,2.2,0.0,3.07
187,1,5,9,2,90.9,126.5,686.5,7.0,21.0,42,2.2,0.0,7.3
199,2,4,9,2,63.5,70.8,665.3,0.8,22.6,38,3.6,0.0,11.32
217,1,3,9,2,88.6,91.8,709.9,7.1,12.4,73,6.3,0.0,30.32
333,1,4,9,2,92.1,87.7,721.1,9.5,18.1,54,3.1,0.0,2.13
337,6,3,9,2,91.6,108.4,764.0,6.2,23.0,34,2.2,0.0,56.04
338,8,6,9,2,91.6,108.4,764.0,6.2,22.7,35,2.2,0.0,7.48
339,2,4,9,2,91.6,108.4,764.0,6.2,20.4,41,1.8,0.0,1.47
340,2,5,9,2,91.6,108.4,764.0,6.2,19.3,44,2.2,0.0,3.93
343,8,6,9,2,91.5,130.1,807.1,7.5,15.9,51,4.5,0.0,2.18
344,6,3,9,2,91.5,130.1,807.1,7.5,12.2,66,4.9,0.0,6.1
345,2,2,9,2,91.5,130.1,807.1,7.5,16.8,43,3.1,0.0,5.83
346,1,4,9,2,91.5,130.1,807.1,7.5,21.3,35,2.2,0.0,28.19
139,1,4,9,3,91.0,129.5,692.6,7.0,21.7,38,2.2,0.0,0.43
147,8,3,9,3,84.4,73.4,671.9,3.2,24.2,28,3.6,0.0,0.96
185,2,5,9,3,91.0,129.5,692.6,7.0,17.6,46,3.1,0.0,7.04
198,3,4,9,3,91.0,129.5,692.6,7.0,13.9,59,6.3,0.0,11.24
200,1,5,9,3,91.0,129.5,692.6,7.0,21.6,33,2.2,0.0,11.53
207,7,5,9,3,91.0,129.5,692.6,7.0,20.7,37,2.2,0.0,17.2
232,6,4,9,3,91.0,129.5,692.6,7.0,18.7,43,2.7,0.0,103.39
233,9,4,9,3,84.4,73.4,671.9,3.2,24.3,36,3.1,0.0,105.66
237,1,2,9,3,91.0,129.5,692.6,7.0,18.8,40,2.2,0.0,212.88
363,4,3,9,3,91.9,111.7,770.3,6.5,15.9,53,2.2,0.0,2.93
364,6,5,9,3,91.9,111.7,770.3,6.5,21.1,35,2.7,0.0,5.65
365,6,5,9,3,91.9,111.7,770.3,6.5,19.6,45,3.1,0.0,20.03
366,4,5,9,3,91.1,132.3,812.1,12.5,15.9,38,5.4,0.0,1.75
170,5,4,9,4,92.9,133.3,699.6,9.2,21.9,35,1.8,0.0,2.57
178,2,5,9,4,90.1,82.9,735.7,6.2,18.3,45,2.2,0.0,4.88
193,4,5,9,4,92.9,133.3,699.6,9.2,24.3,25,4.0,0.0,9.41
218,4,5,9,4,92.9,133.3,699.6,9.2,19.4,19,1.3,0.0,31.72
224,7,4,9,4,90.1,82.9,735.7,6.2,15.4,57,4.5,0.0,37.71
230,4,4,9,4,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,88.49
314,4,4,9,4,92.6,115.4,777.1,8.8,19.7,41,1.8,0.0,1.58
404,2,4,9,4,87.9,84.8,725.1,3.7,21.8,34,2.2,0.0,6.04
149,8,6,9,5,93.7,80.9,685.2,17.9,23.7,25,4.5,0.0,1.12
197,4,5,9,5,92.9,137.0,706.4,9.2,21.5,15,0.9,0.0,11.06
205,4,5,9,5,92.9,137.0,706.4,9.2,22.1,34,1.8,0.0,14.57
209,8,3,9,5,93.7,80.9,685.2,17.9,23.2,26,4.9,0.0,23.41
317,4,4,9,5,92.4,96.2,739.4,8.6,19.2,24,4.9,0.0,3.78
319,5,4,9,5,92.8,119.0,783.5,7.5,21.6,28,6.3,0.0,4.41
320,6,3,9,5,92.8,119.0,783.5,7.5,18.9,34,7.2,0.0,34.36
321,1,4,9,5,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,7.21
322,6,5,9,5,92.8,119.0,783.5,7.5,16.8,28,4.0,0.0,1.01
323,3,5,9,5,90.7,136.9,822.8,6.8,12.9,39,2.7,0.0,2.18
324,6,5,9,5,88.1,53.3,726.9,5.4,13.7,56,1.8,0.0,4.42
401,3,4,9,5,91.1,88.2,731.7,8.3,22.8,46,4.0,0.0,4.95
153,5,4,9,6,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,1.46
159,7,4,9,6,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,1.69
208,6,5,9,6,92.4,117.9,668.0,12.2,19.6,33,6.3,0.0,19.23
212,7,4,9,6,94.3,85.1,692.3,15.9,20.1,47,4.9,0.0,26.13
221,3,4,9,6,93.3,141.2,713.9,13.9,18.6,49,3.6,0.0,35.88
349,5,4,9,6,92.1,99.0,745.3,9.6,12.8,64,3.6,0.0,1.64
350,5,4,9,6,92.1,99.0,745.3,9.6,10.1,75,3.6,0.0,3.71
351,4,4,9,6,92.1,99.0,745.3,9.6,15.4,53,6.3,0.0,7.31
352,7,4,9,6,92.1,99.0,745.3,9.6,20.6,43,3.6,0.0,2.03
353,7,4,9,6,92.1,99.0,745.3,9.6,19.8,47,2.7,0.0,1.72
354,7,4,9,6,92.1,99.0,745.3,9.6,18.7,50,2.2,0.0,5.97
355,4,4,9,6,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,13.06
356,4,4,9,6,92.1,99.0,745.3,9.6,20.8,35,4.9,0.0,1.26
359,1,4,9,6,92.5,122.0,789.7,10.2,21.1,39,2.2,0.0,8.12
360,6,5,9,6,92.5,122.0,789.7,10.2,18.4,42,2.2,0.0,1.09
361,4,3,9,6,92.5,122.0,789.7,10.2,17.3,45,4.0,0.0,3.94
362,7,4,9,6,88.2,55.2,732.3,11.6,15.2,64,3.1,0.0,0.52
374,6,5,9,6,90.3,290.0,855.3,7.4,10.3,78,4.0,0.0,18.3
391,8,6,9,6,91.1,91.3,738.1,7.2,20.7,46,2.7,0.0,30.18
408,4,3,9,6,90.3,290.0,855.3,7.4,19.9,44,3.1,0.0,7.8
439,1,3,9,6,91.1,91.3,738.1,7.2,19.1,46,2.2,0.0,0.33
444,2,5,9,6,90.3,290.0,855.3,7.4,16.2,58,3.6,0.0,9.96
154,1,5,9,7,93.4,145.4,721.4,8.1,29.6,27,2.7,0.0,1.46
156,2,4,9,7,93.4,145.4,721.4,8.1,28.6,27,2.2,0.0,1.61
163,8,6,9,7,92.5,121.1,674.4,8.6,17.8,56,1.8,0.0,1.95
234,4,5,9,7,92.5,121.1,674.4,8.6,17.7,25,3.1,0.0,154.88
236,2,2,9,7,92.5,121.1,674.4,8.6,18.2,46,1.8,0.0,200.94
238,6,5,9,7,92.5,121.1,674.4,8.6,25.1,27,4.0,0.0,1090.84
329,4,3,9,7,92.2,102.3,751.5,8.4,23.5,27,4.0,0.0,3.33
330,3,3,9,7,92.2,102.3,751.5,8.4,24.2,27,3.1,0.0,6.58
331,7,4,9,7,91.2,124.4,795.3,8.5,21.5,28,4.5,0.0,15.64
332,4,4,9,7,91.2,124.4,795.3,8.5,17.1,41,2.2,0.0,11.22
368,6,5,9,7,91.2,94.3,744.4,8.4,16.8,47,4.9,0.0,12.64
375,6,5,9,7,91.2,94.3,744.4,8.4,15.4,57,4.9,0.0,39.35
406,6,5,9,7,87.1,291.3,860.6,4.0,17.0,67,4.9,0.0,3.95
423,1,3,9,7,91.2,94.3,744.4,8.4,22.3,48,4.0,0.0,0.72
181,8,6,10,2,84.9,32.8,664.2,3.0,19.1,32,4.0,0.0,5.44
183,7,4,10,2,91.7,48.5,696.1,11.1,16.8,45,4.5,0.0,6.83
226,7,5,10,2,91.7,48.5,696.1,11.1,16.1,44,4.0,0.0,49.37
203,8,6,10,4,91.4,37.9,673.8,5.2,20.2,37,2.7,0.0,13.7
210,4,4,10,7,90.6,43.7,686.9,6.7,18.4,25,3.1,0.0,24.23
273,4,6,12,1,84.4,27.2,353.5,6.8,4.8,57,8.5,0.0,8.98
276,4,4,12,2,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,17.85
277,3,4,12,2,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,10.73
278,4,4,12,2,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,22.03
279,4,4,12,2,85.4,25.4,349.7,2.6,4.6,21,8.5,0.0,9.77
281,6,5,12,3,85.4,25.4,349.7,2.6,5.1,24,8.5,0.0,24.77
274,8,6,12,4,84.0,27.8,354.6,5.3,5.1,61,8.0,0.0,11.19
275,4,6,12,5,84.6,26.4,352.0,2.0,5.1,61,4.9,0.0,5.38
280,4,6,12,6,84.7,26.7,352.6,4.1,2.2,59,4.9,0.0,9.27
