,X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area
143,1,2,7,7,,,,8.7,16.6,,5.4,0.0,0.71
152,3,4,7,7,,,,6.2,24.6,43.0,1.8,0.0,1.43
291,9,4,7,7,,,,9.0,25.3,39.0,0.9,0.0,8.0
155,7,4,8,1,,,,17.0,16.4,47.0,1.3,0.0,1.56
172,7,4,8,1,,,,10.6,20.1,39.0,5.4,0.0,2.74
177,2,5,8,1,,,,6.3,19.2,44.0,2.7,0.0,4.69
220,8,6,8,1,,,,6.3,16.2,,3.1,0.0,32.07
235,8,6,8,1,,,,10.6,19.6,41.0,5.8,0.0,
242,2,4,8,1,,,,12.9,15.4,,4.0,0.0,10.13
244,2,4,8,1,,,,13.8,22.4,,7.6,0.0,2.87
245,3,4,8,1,,,,13.8,26.8,38.0,6.3,0.0,0.76
246,5,4,8,1,,,,13.8,25.7,39.0,5.4,0.0,0.09
385,2,4,8,1,,,,7.6,20.9,,2.2,0.0,16.0
397,5,6,8,1,,,,7.6,24.3,33.0,3.6,0.0,3.63
418,2,4,8,1,,,,8.1,24.9,42.0,5.4,0.0,2.44
419,2,5,8,1,,,,7.6,24.8,36.0,4.0,0.0,3.05
429,3,4,8,1,,,,7.6,24.6,44.0,4.0,0.0,3.2
433,2,4,8,1,,,,10.1,20.9,,4.9,0.0,15.34
482,3,4,8,1,,,,14.1,23.4,40.0,5.8,0.0,1.29
484,2,5,8,1,,,,14.1,33.1,25.0,4.0,0.0,26.43
512,4,3,8,1,,,,1.9,27.8,32.0,2.7,0.0,6.44
513,2,4,8,1,,,,1.9,21.9,,5.8,0.0,
514,7,4,8,1,,,,1.9,21.2,,6.7,0.0,11.16
260,2,4,8,2,,,,14.4,28.3,32.0,4.0,0.0,8.85
427,2,4,8,2,,,,8.2,27.9,33.0,2.2,0.0,2.35
436,8,6,8,2,,,,8.2,26.8,35.0,1.3,0.0,0.54
441,8,6,8,2,,,,8.2,25.5,29.0,1.8,0.0,1.23
485,2,4,8,2,,,,21.3,30.6,28.0,3.6,0.0,2.07
496,4,5,8,2,,,,16.8,32.6,26.0,3.1,0.0,2.77
148,2,2,8,3,,,,17.0,17.4,43.0,6.7,0.0,1.07
179,8,6,8,3,,,,9.0,14.4,,5.4,0.0,5.23
192,2,2,8,3,,,,17.0,24.6,22.0,4.5,0.0,8.71
194,2,2,8,3,,,,17.0,24.6,22.0,4.5,0.0,10.01
265,4,4,8,3,,,,14.6,22.1,,7.6,0.0,0.79
266,6,5,8,3,,,,22.7,19.4,,4.0,0.0,0.17
269,4,4,8,3,,,,14.3,19.1,,2.7,0.0,4.4
270,2,2,8,3,,,,14.3,21.8,,3.1,0.0,0.52
271,8,6,8,3,,,,14.3,20.1,,4.5,0.0,9.27
272,2,5,8,3,,,,14.3,20.2,47.0,4.0,0.0,3.09
486,5,4,8,3,,,,17.7,24.1,43.0,6.3,0.0,2.0
487,5,4,8,3,,,,17.7,26.4,34.0,3.6,0.0,16.4
488,4,4,8,3,,,,17.7,19.4,,7.6,0.0,46.7
497,3,4,8,3,,,,14.3,32.3,27.0,2.2,0.0,14.68
498,6,5,8,3,,,,14.3,33.3,26.0,2.7,0.0,40.54
499,7,5,8,3,,,,14.3,27.3,,4.9,6.4,10.82
141,1,2,8,4,,,,13.2,23.3,31.0,4.5,0.0,0.55
144,2,5,8,4,,,,13.2,23.8,32.0,5.4,0.0,0.77
157,2,2,8,4,,,,9.6,18.4,45.0,3.6,0.0,1.63
158,2,4,8,4,,,,9.6,20.5,35.0,4.0,0.0,1.64
166,6,5,8,4,,,,9.6,16.6,47.0,0.9,0.0,2.29
167,6,5,8,4,,,,16.5,23.4,33.0,4.5,0.0,2.51
171,8,6,8,4,,,,6.6,17.4,,4.0,0.0,2.69
247,2,4,8,4,,,,9.6,20.7,,2.2,0.0,0.75
249,3,4,8,4,,,,13.5,21.7,40.0,0.4,0.0,2.47
250,8,5,8,4,,,,13.5,26.8,25.0,3.1,0.0,0.68
251,8,5,8,4,,,,13.5,24.0,36.0,3.1,0.0,0.24
252,6,5,8,4,,,,13.5,22.1,37.0,3.6,0.0,0.21
382,8,6,8,4,,,,18.0,28.2,29.0,1.8,0.0,5.86
420,8,8,8,4,,,,7.8,26.2,36.0,4.5,0.0,
450,4,5,8,4,,,,18.0,23.4,49.0,5.4,0.0,6.43
457,1,4,8,4,,,,7.8,19.9,,4.0,0.0,
503,2,4,8,4,,,,20.0,29.2,30.0,4.9,0.0,1.95
504,4,3,8,4,,,,20.0,28.9,29.0,4.9,0.0,49.59
145,6,5,8,5,,,,10.4,27.4,22.0,4.0,0.0,0.9
161,6,4,8,5,,,,10.4,20.3,41.0,4.0,0.0,1.9
169,8,6,8,5,,,,10.4,20.7,45.0,2.2,0.0,2.55
191,2,5,8,5,,,,10.4,24.2,28.0,2.7,0.0,8.68
253,7,4,8,5,,,,8.0,21.4,38.0,2.7,0.0,1.52
254,6,3,8,5,,,,6.3,18.9,41.0,3.1,0.0,10.34
381,8,6,8,5,,,,6.8,16.2,,2.7,0.0,16.33
383,9,6,8,5,,,,6.3,20.5,,2.7,0.0,42.87
415,8,6,8,5,,,,13.9,27.5,27.0,4.9,0.0,
505,1,2,8,5,,,,10.1,26.7,35.0,1.8,0.0,5.8
142,8,6,8,6,,,,12.5,21.2,,8.9,0.0,0.61
184,8,6,8,6,,,,15.1,20.8,34.0,4.9,0.0,6.96
195,2,5,8,6,,,,15.1,23.5,36.0,5.4,0.0,10.02
261,3,4,8,6,,,,8.9,11.2,,7.6,0.0,3.3
262,2,4,8,6,,,,8.9,21.4,42.0,3.1,0.0,4.25
263,6,3,8,6,,,,7.1,19.3,39.0,3.6,0.0,1.56
264,4,4,8,6,,,,13.0,21.8,,3.1,0.0,6.54
388,6,4,8,6,,,,12.0,23.3,34.0,3.1,0.0,28.74
451,1,4,8,6,,,,16.3,11.8,,4.9,0.0,9.71
493,1,3,8,6,,,,11.3,27.5,29.0,4.5,0.0,43.32
509,5,4,8,6,,,,7.1,21.1,,7.6,1.4,2.17
510,6,5,8,6,,,,7.1,18.2,,5.4,0.0,0.43
174,1,4,8,7,,,,8.9,14.2,,1.8,0.0,3.5
175,1,4,8,7,,,,8.9,20.3,39.0,4.9,0.0,4.53
206,2,2,8,7,,,,20.3,22.9,31.0,7.2,0.0,15.45
211,7,4,8,7,,,,20.3,5.1,,5.8,0.0,26.0
227,8,6,8,7,,,,11.9,20.1,34.0,4.5,0.0,
229,8,6,8,7,,,,11.9,16.4,43.0,4.0,0.0,
256,8,6,8,7,,,,11.0,23.9,41.0,2.2,0.0,8.02
257,4,3,8,7,,,,11.0,21.4,44.0,2.7,0.0,0.68
259,7,4,8,7,,,,13.7,23.7,40.0,1.8,0.0,1.38
377,2,2,8,7,,,,8.4,21.9,42.0,2.2,0.0,
384,8,4,8,7,,,,7.7,21.3,44.0,4.5,0.0,12.18
424,8,6,8,7,,,,8.4,26.9,31.0,3.6,0.0,4.96
431,1,3,8,7,,,,9.6,23.3,40.0,4.0,0.0,6.36
438,2,5,8,7,,,,8.4,23.6,,4.0,0.0,6.43
458,8,6,8,7,,,,8.4,18.9,,4.9,0.0,3.32
459,7,4,8,7,,,,7.7,15.5,,8.0,0.0,1.94
494,6,6,8,7,,,,14.0,30.8,30.0,4.9,0.0,8.59
164,8,5,9,1,,,,4.8,17.8,,2.2,0.0,2.01
180,1,3,9,1,,,,8.5,23.9,32.0,6.7,0.0,5.33
216,4,4,9,1,,,,8.5,16.9,,1.3,0.0,29.48
225,4,4,9,1,,,,8.1,22.9,39.0,4.9,0.0,48.55
228,4,6,9,1,,,,8.1,28.3,26.0,3.1,0.0,
231,1,5,9,1,,,,8.1,27.8,27.0,3.1,0.0,
306,7,4,9,1,,,,5.7,17.1,,5.4,0.0,0.41
307,3,4,9,1,,,,5.7,23.8,35.0,3.6,0.0,5.18
311,6,3,9,1,,,,9.9,24.8,28.0,1.8,0.0,14.29
370,7,4,9,1,,,,7.1,13.8,,7.6,0.0,11.06
386,3,4,9,1,,,,11.4,20.6,,5.4,0.0,24.59
392,1,3,9,1,,,,7.1,21.9,43.0,4.0,0.0,
396,4,3,9,1,,,,11.4,20.4,,4.9,0.0,3.64
462,1,4,9,1,,,,7.1,14.5,,7.6,0.0,3.71
140,2,5,9,2,,,,7.0,21.9,39.0,1.8,0.0,0.47
173,4,4,9,2,,,,7.0,17.7,39.0,2.2,0.0,3.07
187,1,5,9,2,,,,7.0,21.0,42.0,2.2,0.0,7.3
199,2,4,9,2,,,,0.8,22.6,38.0,3.6,0.0,11.32
217,1,3,9,2,,,,7.1,12.4,,6.3,0.0,30.32
333,1,4,9,2,,,,9.5,18.1,,3.1,0.0,2.13
337,6,3,9,2,,,,6.2,23.0,34.0,2.2,0.0,
338,8,6,9,2,,,,6.2,22.7,35.0,2.2,0.0,7.48
339,2,4,9,2,,,,6.2,20.4,41.0,1.8,0.0,1.47
340,2,5,9,2,,,,6.2,19.3,44.0,2.2,0.0,3.93
343,8,6,9,2,,,,7.5,15.9,,4.5,0.0,2.18
344,6,3,9,2,,,,7.5,12.2,,4.9,0.0,6.1
345,2,2,9,2,,,,7.5,16.8,43.0,3.1,0.0,5.83
346,1,4,9,2,,,,7.5,21.3,35.0,2.2,0.0,28.19
139,1,4,9,3,,,,7.0,21.7,38.0,2.2,0.0,0.43
147,8,3,9,3,,,,3.2,24.2,28.0,3.6,0.0,0.96
185,2,5,9,3,,,,7.0,17.6,46.0,3.1,0.0,7.04
198,3,4,9,3,,,,7.0,13.9,,6.3,0.0,11.24
200,1,5,9,3,,,,7.0,21.6,33.0,2.2,0.0,11.53
207,7,5,9,3,,,,7.0,20.7,37.0,2.2,0.0,17.2
232,6,4,9,3,,,,7.0,18.7,43.0,2.7,0.0,
233,9,4,9,3,,,,3.2,24.3,36.0,3.1,0.0,
237,1,2,9,3,,,,7.0,18.8,40.0,2.2,0.0,
363,4,3,9,3,,,,6.5,15.9,,2.2,0.0,2.93
364,6,5,9,3,,,,6.5,21.1,35.0,2.7,0.0,5.65
365,6,5,9,3,,,,6.5,19.6,45.0,3.1,0.0,20.03
366,4,5,9,3,,,,12.5,15.9,38.0,5.4,0.0,1.75
170,5,4,9,4,,,,9.2,21.9,35.0,1.8,0.0,2.57
178,2,5,9,4,,,,6.2,18.3,45.0,2.2,0.0,4.88
193,4,5,9,4,,,,9.2,24.3,25.0,4.0,0.0,9.41
218,4,5,9,4,,,,9.2,19.4,19.0,1.3,0.0,31.72
224,7,4,9,4,,,,6.2,15.4,,4.5,0.0,37.71
230,4,4,9,4,,,,9.2,26.4,21.0,4.5,0.0,
314,4,4,9,4,,,,8.8,19.7,41.0,1.8,0.0,1.58
404,2,4,9,4,,,,3.7,21.8,34.0,2.2,0.0,6.04
149,8,6,9,5,,,,17.9,23.7,25.0,4.5,0.0,1.12
197,4,5,9,5,,,,9.2,21.5,15.0,0.9,0.0,11.06
205,4,5,9,5,,,,9.2,22.1,34.0,1.8,0.0,14.57
209,8,3,9,5,,,,17.9,23.2,26.0,4.9,0.0,23.41
317,4,4,9,5,,,,8.6,19.2,24.0,4.9,0.0,3.78
319,5,4,9,5,,,,7.5,21.6,28.0,6.3,0.0,4.41
320,6,3,9,5,,,,7.5,18.9,34.0,7.2,0.0,34.36
321,1,4,9,5,,,,7.5,16.8,28.0,4.0,0.0,7.21
322,6,5,9,5,,,,7.5,16.8,28.0,4.0,0.0,1.01
323,3,5,9,5,,,,6.8,12.9,39.0,2.7,0.0,2.18
324,6,5,9,5,,,,5.4,13.7,,1.8,0.0,4.42
401,3,4,9,5,,,,8.3,22.8,46.0,4.0,0.0,4.95
153,5,4,9,6,,,,15.9,20.1,47.0,4.9,0.0,1.46
159,7,4,9,6,,,,12.2,19.0,34.0,5.8,0.0,1.69
208,6,5,9,6,,,,12.2,19.6,33.0,6.3,0.0,19.23
212,7,4,9,6,,,,15.9,20.1,47.0,4.9,0.0,26.13
221,3,4,9,6,,,,13.9,18.6,49.0,3.6,0.0,35.88
349,5,4,9,6,,,,9.6,12.8,,3.6,0.0,1.64
350,5,4,9,6,,,,9.6,10.1,,3.6,0.0,3.71
351,4,4,9,6,,,,9.6,15.4,,6.3,0.0,7.31
352,7,4,9,6,,,,9.6,20.6,43.0,3.6,0.0,2.03
353,7,4,9,6,,,,9.6,19.8,47.0,2.7,0.0,1.72
354,7,4,9,6,,,,9.6,18.7,,2.2,0.0,5.97
355,4,4,9,6,,,,9.6,20.8,35.0,4.9,0.0,13.06
356,4,4,9,6,,,,9.6,20.8,35.0,4.9,0.0,1.26
359,1,4,9,6,,,,10.2,21.1,39.0,2.2,0.0,8.12
360,6,5,9,6,,,,10.2,18.4,42.0,2.2,0.0,1.09
361,4,3,9,6,,,,10.2,17.3,45.0,4.0,0.0,3.94
362,7,4,9,6,,,,11.6,15.2,,3.1,0.0,0.52
374,6,5,9,6,,,,7.4,10.3,,4.0,0.0,18.3
391,8,6,9,6,,,,7.2,20.7,46.0,2.7,0.0,30.18
408,4,3,9,6,,,,7.4,19.9,44.0,3.1,0.0,7.8
439,1,3,9,6,,,,7.2,19.1,46.0,2.2,0.0,0.33
444,2,5,9,6,,,,7.4,16.2,,3.6,0.0,9.96
154,1,5,9,7,,,,8.1,29.6,27.0,2.7,0.0,1.46
156,2,4,9,7,,,,8.1,28.6,27.0,2.2,0.0,1.61
163,8,6,9,7,,,,8.6,17.8,,1.8,0.0,1.95
234,4,5,9,7,,,,8.6,17.7,25.0,3.1,0.0,
236,2,2,9,7,,,,8.6,18.2,46.0,1.8,0.0,
238,6,5,9,7,,,,8.6,25.1,27.0,4.0,0.0,
329,4,3,9,7,,,,8.4,23.5,27.0,4.0,0.0,3.33
330,3,3,9,7,,,,8.4,24.2,27.0,3.1,0.0,6.58
331,7,4,9,7,,,,8.5,21.5,28.0,4.5,0.0,15.64
332,4,4,9,7,,,,8.5,17.1,41.0,2.2,0.0,11.22
368,6,5,9,7,,,,8.4,16.8,47.0,4.9,0.0,12.64
375,6,5,9,7,,,,8.4,15.4,,4.9,0.0,39.35
406,6,5,9,7,,,,4.0,17.0,,4.9,0.0,3.95
423,1,3,9,7,,,,8.4,22.3,48.0,4.0,0.0,0.72
181,8,6,10,2,,32.8,,3.0,19.1,32.0,4.0,0.0,5.44
183,7,4,10,2,,48.5,,11.1,16.8,45.0,4.5,0.0,6.83
226,7,5,10,2,,48.5,,11.1,16.1,44.0,4.0,0.0,49.37
203,8,6,10,4,,37.9,,5.2,20.2,37.0,2.7,0.0,13.7
210,4,4,10,7,,43.7,,6.7,18.4,25.0,3.1,0.0,24.23
273,4,6,12,1,,27.2,,6.8,4.8,,8.5,0.0,8.98
276,4,4,12,2,,25.4,,2.6,4.6,21.0,8.5,0.0,17.85
277,3,4,12,2,,25.4,,2.6,4.6,21.0,8.5,0.0,10.73
278,4,4,12,2,,25.4,,2.6,4.6,21.0,8.5,0.0,22.03
279,4,4,12,2,,25.4,,2.6,4.6,21.0,8.5,0.0,9.77
281,6,5,12,3,,25.4,,2.6,5.1,24.0,8.5,0.0,24.77
274,8,6,12,4,,27.8,,5.3,5.1,,8.0,0.0,11.19
275,4,6,12,5,,26.4,,2.0,5.1,,4.9,0.0,5.38
280,4,6,12,6,,26.7,,4.1,2.2,,4.9,0.0,9.27
